"id","location","gender","age_arange","age_total"
1,강남구,남,from0to4,50
2,강남구,남,from5to9,41
3,강남구,남,from10to14,35
4,강남구,남,from15to19,46
5,강남구,남,from20to24,142
6,강남구,남,from25to29,405
7,강남구,남,from30to34,533
8,강남구,남,from35to39,350
9,강남구,남,from40to44,249
10,강남구,남,from45to49,202
11,강남구,남,from50to54,187
12,강남구,남,from55to59,135
13,강남구,남,from60to64,69
14,강남구,남,from65to69,28
15,강남구,남,from70to74,14
16,강남구,남,from75to79,7
17,강남구,남,upto80,6
18,강남구,여,from0to4,43
19,강남구,여,from5to9,33
20,강남구,여,from10to14,22
21,강남구,여,from15to19,55
22,강남구,여,from20to24,313
23,강남구,여,from25to29,522
24,강남구,여,from30to34,375
25,강남구,여,from35to39,234
26,강남구,여,from40to44,181
27,강남구,여,from45to49,159
28,강남구,여,from50to54,175
29,강남구,여,from55to59,137
30,강남구,여,from60to64,81
31,강남구,여,from65to69,32
32,강남구,여,from70to74,16
33,강남구,여,from75to79,6
34,강남구,여,upto80,5
35,강동구,남,from0to4,53
36,강동구,남,from5to9,48
37,강동구,남,from10to14,15
38,강동구,남,from15to19,20
39,강동구,남,from20to24,71
40,강동구,남,from25to29,233
41,강동구,남,from30to34,264
42,강동구,남,from35to39,194
43,강동구,남,from40to44,182
44,강동구,남,from45to49,242
45,강동구,남,from50to54,238
46,강동구,남,from55to59,240
47,강동구,남,from60to64,84
48,강동구,남,from65to69,22
49,강동구,남,from70to74,11
50,강동구,남,from75to79,2
51,강동구,남,upto80,3
52,강동구,여,from0to4,71
53,강동구,여,from5to9,43
54,강동구,여,from10to14,21
55,강동구,여,from15to19,23
56,강동구,여,from20to24,104
57,강동구,여,from25to29,237
58,강동구,여,from30to34,254
59,강동구,여,from35to39,220
60,강동구,여,from40to44,190
61,강동구,여,from45to49,275
62,강동구,여,from50to54,317
63,강동구,여,from55to59,307
64,강동구,여,from60to64,109
65,강동구,여,from65to69,24
66,강동구,여,from70to74,9
67,강동구,여,from75to79,3
68,강동구,여,upto80,7
69,강북구,남,from0to4,41
70,강북구,남,from5to9,17
71,강북구,남,from10to14,13
72,강북구,남,from15to19,33
73,강북구,남,from20to24,128
74,강북구,남,from25to29,192
75,강북구,남,from30to34,163
76,강북구,남,from35to39,151
77,강북구,남,from40to44,102
78,강북구,남,from45to49,132
79,강북구,남,from50to54,141
80,강북구,남,from55to59,122
81,강북구,남,from60to64,56
82,강북구,남,from65to69,21
83,강북구,남,from70to74,12
84,강북구,남,from75to79,4
85,강북구,남,upto80,6
86,강북구,여,from0to4,40
87,강북구,여,from5to9,34
88,강북구,여,from10to14,16
89,강북구,여,from15to19,50
90,강북구,여,from20to24,302
91,강북구,여,from25to29,367
92,강북구,여,from30to34,289
93,강북구,여,from35to39,199
94,강북구,여,from40to44,143
95,강북구,여,from45to49,181
96,강북구,여,from50to54,235
97,강북구,여,from55to59,198
98,강북구,여,from60to64,85
99,강북구,여,from65to69,29
100,강북구,여,from70to74,11
101,강북구,여,from75to79,4
102,강북구,여,upto80,6
103,강서구,남,from0to4,127
104,강서구,남,from5to9,66
105,강서구,남,from10to14,22
106,강서구,남,from15to19,31
107,강서구,남,from20to24,107
108,강서구,남,from25to29,311
109,강서구,남,from30to34,405
110,강서구,남,from35to39,340
111,강서구,남,from40to44,302
112,강서구,남,from45to49,358
113,강서구,남,from50to54,423
114,강서구,남,from55to59,378
115,강서구,남,from60to64,204
116,강서구,남,from65to69,67
117,강서구,남,from70to74,24
118,강서구,남,from75to79,16
119,강서구,남,upto80,5
120,강서구,여,from0to4,120
121,강서구,여,from5to9,59
122,강서구,여,from10to14,23
123,강서구,여,from15to19,73
124,강서구,여,from20to24,184
125,강서구,여,from25to29,451
126,강서구,여,from30to34,536
127,강서구,여,from35to39,408
128,강서구,여,from40to44,228
129,강서구,여,from45to49,332
130,강서구,여,from50to54,402
131,강서구,여,from55to59,348
132,강서구,여,from60to64,139
133,강서구,여,from65to69,42
134,강서구,여,from70to74,14
135,강서구,여,from75to79,14
136,강서구,여,upto80,5
137,관악구,남,from0to4,339
138,관악구,남,from5to9,199
139,관악구,남,from10to14,75
140,관악구,남,from15to19,111
141,관악구,남,from20to24,406
142,관악구,남,from25to29,911
143,관악구,남,from30to34,1087
144,관악구,남,from35to39,826
145,관악구,남,from40to44,654
146,관악구,남,from45to49,908
147,관악구,남,from50to54,1178
148,관악구,남,from55to59,1078
149,관악구,남,from60to64,424
150,관악구,남,from65to69,100
151,관악구,남,from70to74,23
152,관악구,남,from75to79,12
153,관악구,남,upto80,14
154,관악구,여,from0to4,341
155,관악구,여,from5to9,164
156,관악구,여,from10to14,97
157,관악구,여,from15to19,183
158,관악구,여,from20to24,975
159,관악구,여,from25to29,1310
160,관악구,여,from30to34,1023
161,관악구,여,from35to39,650
162,관악구,여,from40to44,556
163,관악구,여,from45to49,940
164,관악구,여,from50to54,1275
165,관악구,여,from55to59,1190
166,관악구,여,from60to64,415
167,관악구,여,from65to69,96
168,관악구,여,from70to74,30
169,관악구,여,from75to79,18
170,관악구,여,upto80,24
171,광진구,남,from0to4,235
172,광진구,남,from5to9,129
173,광진구,남,from10to14,77
174,광진구,남,from15to19,227
175,광진구,남,from20to24,1026
176,광진구,남,from25to29,805
177,광진구,남,from30to34,680
178,광진구,남,from35to39,487
179,광진구,남,from40to44,366
180,광진구,남,from45to49,539
181,광진구,남,from50to54,710
182,광진구,남,from55to59,635
183,광진구,남,from60to64,229
184,광진구,남,from65to69,52
185,광진구,남,from70to74,14
186,광진구,남,from75to79,7
187,광진구,남,upto80,13
188,광진구,여,from0to4,228
189,광진구,여,from5to9,124
190,광진구,여,from10to14,53
191,광진구,여,from15to19,477
192,광진구,여,from20to24,2043
193,광진구,여,from25to29,1224
194,광진구,여,from30to34,683
195,광진구,여,from35to39,476
196,광진구,여,from40to44,390
197,광진구,여,from45to49,647
198,광진구,여,from50to54,864
199,광진구,여,from55to59,830
200,광진구,여,from60to64,248
201,광진구,여,from65to69,44
202,광진구,여,from70to74,12
203,광진구,여,from75to79,8
204,광진구,여,upto80,13
205,구로구,남,from0to4,632
206,구로구,남,from5to9,380
207,구로구,남,from10to14,192
208,구로구,남,from15to19,188
209,구로구,남,from20to24,266
210,구로구,남,from25to29,1341
211,구로구,남,from30to34,1918
212,구로구,남,from35to39,1671
213,구로구,남,from40to44,1668
214,구로구,남,from45to49,2463
215,구로구,남,from50to54,2927
216,구로구,남,from55to59,2442
217,구로구,남,from60to64,976
218,구로구,남,from65to69,199
219,구로구,남,from70to74,57
220,구로구,남,from75to79,31
221,구로구,남,upto80,32
222,구로구,여,from0to4,581
223,구로구,여,from5to9,338
224,구로구,여,from10to14,177
225,구로구,여,from15to19,119
226,구로구,여,from20to24,356
227,구로구,여,from25to29,992
228,구로구,여,from30to34,1401
229,구로구,여,from35to39,1095
230,구로구,여,from40to44,1015
231,구로구,여,from45to49,1757
232,구로구,여,from50to54,2375
233,구로구,여,from55to59,2189
234,구로구,여,from60to64,777
235,구로구,여,from65to69,159
236,구로구,여,from70to74,49
237,구로구,여,from75to79,30
238,구로구,여,upto80,24
239,금천구,남,from0to4,417
240,금천구,남,from5to9,253
241,금천구,남,from10to14,87
242,금천구,남,from15to19,64
243,금천구,남,from20to24,129
244,금천구,남,from25to29,747
245,금천구,남,from30to34,1158
246,금천구,남,from35to39,960
247,금천구,남,from40to44,1060
248,금천구,남,from45to49,1537
249,금천구,남,from50to54,1787
250,금천구,남,from55to59,1404
251,금천구,남,from60to64,507
252,금천구,남,from65to69,117
253,금천구,남,from70to74,24
254,금천구,남,from75to79,15
255,금천구,남,upto80,12
256,금천구,여,from0to4,390
257,금천구,여,from5to9,230
258,금천구,여,from10to14,68
259,금천구,여,from15to19,72
260,금천구,여,from20to24,156
261,금천구,여,from25to29,612
262,금천구,여,from30to34,794
263,금천구,여,from35to39,655
264,금천구,여,from40to44,623
265,금천구,여,from45to49,1141
266,금천구,여,from50to54,1462
267,금천구,여,from55to59,1296
268,금천구,여,from60to64,400
269,금천구,여,from65to69,106
270,금천구,여,from70to74,25
271,금천구,여,from75to79,12
272,금천구,여,upto80,17
273,노원구,남,from0to4,32
274,노원구,남,from5to9,21
275,노원구,남,from10to14,11
276,노원구,남,from15to19,133
277,노원구,남,from20to24,354
278,노원구,남,from25to29,252
279,노원구,남,from30to34,171
280,노원구,남,from35to39,122
281,노원구,남,from40to44,98
282,노원구,남,from45to49,112
283,노원구,남,from50to54,85
284,노원구,남,from55to59,58
285,노원구,남,from60to64,40
286,노원구,남,from65to69,14
287,노원구,남,from70to74,7
288,노원구,남,from75to79,5
289,노원구,남,upto80,2
290,노원구,여,from0to4,38
291,노원구,여,from5to9,17
292,노원구,여,from10to14,10
293,노원구,여,from15to19,151
294,노원구,여,from20to24,480
295,노원구,여,from25to29,361
296,노원구,여,from30to34,275
297,노원구,여,from35to39,179
298,노원구,여,from40to44,149
299,노원구,여,from45to49,146
300,노원구,여,from50to54,147
301,노원구,여,from55to59,115
302,노원구,여,from60to64,50
303,노원구,여,from65to69,16
304,노원구,여,from70to74,11
305,노원구,여,from75to79,6
306,노원구,여,upto80,4
307,도봉구,남,from0to4,30
308,도봉구,남,from5to9,19
309,도봉구,남,from10to14,8
310,도봉구,남,from15to19,22
311,도봉구,남,from20to24,84
312,도봉구,남,from25to29,122
313,도봉구,남,from30to34,109
314,도봉구,남,from35to39,90
315,도봉구,남,from40to44,62
316,도봉구,남,from45to49,82
317,도봉구,남,from50to54,68
318,도봉구,남,from55to59,41
319,도봉구,남,from60to64,35
320,도봉구,남,from65to69,14
321,도봉구,남,from70to74,5
322,도봉구,남,from75to79,1
323,도봉구,남,upto80,2
324,도봉구,여,from0to4,23
325,도봉구,여,from5to9,13
326,도봉구,여,from10to14,17
327,도봉구,여,from15to19,52
328,도봉구,여,from20to24,167
329,도봉구,여,from25to29,215
330,도봉구,여,from30to34,196
331,도봉구,여,from35to39,119
332,도봉구,여,from40to44,103
333,도봉구,여,from45to49,117
334,도봉구,여,from50to54,102
335,도봉구,여,from55to59,85
336,도봉구,여,from60to64,44
337,도봉구,여,from65to69,14
338,도봉구,여,from70to74,4
339,도봉구,여,from75to79,3
340,도봉구,여,upto80,0
341,동대문구,남,from0to4,128
342,동대문구,남,from5to9,82
343,동대문구,남,from10to14,40
344,동대문구,남,from15to19,553
345,동대문구,남,from20to24,1750
346,동대문구,남,from25to29,948
347,동대문구,남,from30to34,595
348,동대문구,남,from35to39,344
349,동대문구,남,from40to44,259
350,동대문구,남,from45to49,314
351,동대문구,남,from50to54,337
352,동대문구,남,from55to59,298
353,동대문구,남,from60to64,132
354,동대문구,남,from65to69,45
355,동대문구,남,from70to74,14
356,동대문구,남,from75to79,9
357,동대문구,남,upto80,13
358,동대문구,여,from0to4,138
359,동대문구,여,from5to9,63
360,동대문구,여,from10to14,51
361,동대문구,여,from15to19,1006
362,동대문구,여,from20to24,3909
363,동대문구,여,from25to29,1636
364,동대문구,여,from30to34,660
365,동대문구,여,from35to39,388
366,동대문구,여,from40to44,259
367,동대문구,여,from45to49,351
368,동대문구,여,from50to54,407
369,동대문구,여,from55to59,382
370,동대문구,여,from60to64,163
371,동대문구,여,from65to69,52
372,동대문구,여,from70to74,16
373,동대문구,여,from75to79,13
374,동대문구,여,upto80,9
375,동작구,남,from0to4,144
376,동작구,남,from5to9,92
377,동작구,남,from10to14,34
378,동작구,남,from15to19,220
379,동작구,남,from20to24,881
380,동작구,남,from25to29,695
381,동작구,남,from30to34,583
382,동작구,남,from35to39,419
383,동작구,남,from40to44,341
384,동작구,남,from45to49,533
385,동작구,남,from50to54,686
386,동작구,남,from55to59,621
387,동작구,남,from60to64,231
388,동작구,남,from65to69,53
389,동작구,남,from70to74,20
390,동작구,남,from75to79,5
391,동작구,남,upto80,14
392,동작구,여,from0to4,148
393,동작구,여,from5to9,72
394,동작구,여,from10to14,35
395,동작구,여,from15to19,333
396,동작구,여,from20to24,1821
397,동작구,여,from25to29,831
398,동작구,여,from30to34,560
399,동작구,여,from35to39,317
400,동작구,여,from40to44,310
401,동작구,여,from45to49,524
402,동작구,여,from50to54,753
403,동작구,여,from55to59,675
404,동작구,여,from60to64,233
405,동작구,여,from65to69,53
406,동작구,여,from70to74,18
407,동작구,여,from75to79,8
408,동작구,여,upto80,13
409,마포구,남,from0to4,105
410,마포구,남,from5to9,91
411,마포구,남,from10to14,80
412,마포구,남,from15to19,157
413,마포구,남,from20to24,588
414,마포구,남,from25to29,612
415,마포구,남,from30to34,588
416,마포구,남,from35to39,472
417,마포구,남,from40to44,351
418,마포구,남,from45to49,342
419,마포구,남,from50to54,332
420,마포구,남,from55to59,299
421,마포구,남,from60to64,163
422,마포구,남,from65to69,73
423,마포구,남,from70to74,33
424,마포구,남,from75to79,13
425,마포구,남,upto80,10
426,마포구,여,from0to4,103
427,마포구,여,from5to9,90
428,마포구,여,from10to14,67
429,마포구,여,from15to19,370
430,마포구,여,from20to24,1851
431,마포구,여,from25to29,1425
432,마포구,여,from30to34,710
433,마포구,여,from35to39,455
434,마포구,여,from40to44,283
435,마포구,여,from45to49,316
436,마포구,여,from50to54,314
437,마포구,여,from55to59,307
438,마포구,여,from60to64,138
439,마포구,여,from65to69,53
440,마포구,여,from70to74,27
441,마포구,여,from75to79,18
442,마포구,여,upto80,32
443,서대문구,남,from0to4,74
444,서대문구,남,from5to9,83
445,서대문구,남,from10to14,80
446,서대문구,남,from15to19,316
447,서대문구,남,from20to24,875
448,서대문구,남,from25to29,627
449,서대문구,남,from30to34,445
450,서대문구,남,from35to39,289
451,서대문구,남,from40to44,221
452,서대문구,남,from45to49,249
453,서대문구,남,from50to54,257
454,서대문구,남,from55to59,235
455,서대문구,남,from60to64,179
456,서대문구,남,from65to69,84
457,서대문구,남,from70to74,46
458,서대문구,남,from75to79,21
459,서대문구,남,upto80,25
460,서대문구,여,from0to4,91
461,서대문구,여,from5to9,76
462,서대문구,여,from10to14,79
463,서대문구,여,from15to19,695
464,서대문구,여,from20to24,3252
465,서대문구,여,from25to29,1467
466,서대문구,여,from30to34,635
467,서대문구,여,from35to39,405
468,서대문구,여,from40to44,258
469,서대문구,여,from45to49,271
470,서대문구,여,from50to54,274
471,서대문구,여,from55to59,274
472,서대문구,여,from60to64,153
473,서대문구,여,from65to69,73
474,서대문구,여,from70to74,46
475,서대문구,여,from75to79,33
476,서대문구,여,upto80,40
477,서초구,남,from0to4,92
478,서초구,남,from5to9,104
479,서초구,남,from10to14,69
480,서초구,남,from15to19,55
481,서초구,남,from20to24,117
482,서초구,남,from25to29,228
483,서초구,남,from30to34,393
484,서초구,남,from35to39,305
485,서초구,남,from40to44,254
486,서초구,남,from45to49,186
487,서초구,남,from50to54,175
488,서초구,남,from55to59,115
489,서초구,남,from60to64,48
490,서초구,남,from65to69,25
491,서초구,남,from70to74,11
492,서초구,남,from75to79,5
493,서초구,남,upto80,4
494,서초구,여,from0to4,91
495,서초구,여,from5to9,87
496,서초구,여,from10to14,62
497,서초구,여,from15to19,58
498,서초구,여,from20to24,165
499,서초구,여,from25to29,256
500,서초구,여,from30to34,307
501,서초구,여,from35to39,249
502,서초구,여,from40to44,216
503,서초구,여,from45to49,200
504,서초구,여,from50to54,190
505,서초구,여,from55to59,122
506,서초구,여,from60to64,69
507,서초구,여,from65to69,23
508,서초구,여,from70to74,7
509,서초구,여,from75to79,6
510,서초구,여,upto80,5
511,성동구,남,from0to4,101
512,성동구,남,from5to9,66
513,성동구,남,from10to14,31
514,성동구,남,from15to19,131
515,성동구,남,from20to24,655
516,성동구,남,from25to29,563
517,성동구,남,from30to34,489
518,성동구,남,from35to39,338
519,성동구,남,from40to44,244
520,성동구,남,from45to49,311
521,성동구,남,from50to54,319
522,성동구,남,from55to59,272
523,성동구,남,from60to64,117
524,성동구,남,from65to69,46
525,성동구,남,from70to74,18
526,성동구,남,from75to79,3
527,성동구,남,upto80,5
528,성동구,여,from0to4,112
529,성동구,여,from5to9,58
530,성동구,여,from10to14,29
531,성동구,여,from15to19,180
532,성동구,여,from20to24,1083
533,성동구,여,from25to29,607
534,성동구,여,from30to34,413
535,성동구,여,from35to39,253
536,성동구,여,from40to44,219
537,성동구,여,from45to49,327
538,성동구,여,from50to54,366
539,성동구,여,from55to59,368
540,성동구,여,from60to64,130
541,성동구,여,from65to69,26
542,성동구,여,from70to74,7
543,성동구,여,from75to79,4
544,성동구,여,upto80,12
545,성북구,남,from0to4,119
546,성북구,남,from5to9,70
547,성북구,남,from10to14,44
548,성북구,남,from15to19,441
549,성북구,남,from20to24,1479
550,성북구,남,from25to29,747
551,성북구,남,from30to34,499
552,성북구,남,from35to39,301
553,성북구,남,from40to44,190
554,성북구,남,from45to49,201
555,성북구,남,from50to54,176
556,성북구,남,from55to59,139
557,성북구,남,from60to64,78
558,성북구,남,from65to69,32
559,성북구,남,from70to74,16
560,성북구,남,from75to79,8
561,성북구,남,upto80,7
562,성북구,여,from0to4,117
563,성북구,여,from5to9,49
564,성북구,여,from10to14,37
565,성북구,여,from15to19,791
566,성북구,여,from20to24,2813
567,성북구,여,from25to29,1047
568,성북구,여,from30to34,548
569,성북구,여,from35to39,336
570,성북구,여,from40to44,243
571,성북구,여,from45to49,243
572,성북구,여,from50to54,249
573,성북구,여,from55to59,176
574,성북구,여,from60to64,89
575,성북구,여,from65to69,29
576,성북구,여,from70to74,16
577,성북구,여,from75to79,10
578,성북구,여,upto80,12
579,송파구,남,from0to4,128
580,송파구,남,from5to9,66
581,송파구,남,from10to14,30
582,송파구,남,from15to19,61
583,송파구,남,from20to24,145
584,송파구,남,from25to29,379
585,송파구,남,from30to34,480
586,송파구,남,from35to39,389
587,송파구,남,from40to44,264
588,송파구,남,from45to49,371
589,송파구,남,from50to54,429
590,송파구,남,from55to59,325
591,송파구,남,from60to64,123
592,송파구,남,from65to69,45
593,송파구,남,from70to74,14
594,송파구,남,from75to79,9
595,송파구,남,upto80,2
596,송파구,여,from0to4,105
597,송파구,여,from5to9,86
598,송파구,여,from10to14,27
599,송파구,여,from15to19,56
600,송파구,여,from20to24,194
601,송파구,여,from25to29,401
602,송파구,여,from30to34,464
603,송파구,여,from35to39,303
604,송파구,여,from40to44,270
605,송파구,여,from45to49,411
606,송파구,여,from50to54,467
607,송파구,여,from55to59,406
608,송파구,여,from60to64,157
609,송파구,여,from65to69,38
610,송파구,여,from70to74,14
611,송파구,여,from75to79,10
612,송파구,여,upto80,8
613,양천구,남,from0to4,56
614,양천구,남,from5to9,40
615,양천구,남,from10to14,28
616,양천구,남,from15to19,20
617,양천구,남,from20to24,62
618,양천구,남,from25to29,161
619,양천구,남,from30to34,219
620,양천구,남,from35to39,223
621,양천구,남,from40to44,171
622,양천구,남,from45to49,208
623,양천구,남,from50to54,235
624,양천구,남,from55to59,207
625,양천구,남,from60to64,75
626,양천구,남,from65to69,34
627,양천구,남,from70to74,12
628,양천구,남,from75to79,5
629,양천구,남,upto80,5
630,양천구,여,from0to4,54
631,양천구,여,from5to9,46
632,양천구,여,from10to14,17
633,양천구,여,from15to19,25
634,양천구,여,from20to24,119
635,양천구,여,from25to29,252
636,양천구,여,from30to34,285
637,양천구,여,from35to39,217
638,양천구,여,from40to44,204
639,양천구,여,from45to49,239
640,양천구,여,from50to54,300
641,양천구,여,from55to59,199
642,양천구,여,from60to64,104
643,양천구,여,from65to69,28
644,양천구,여,from70to74,4
645,양천구,여,from75to79,3
646,양천구,여,upto80,7
647,영등포구,남,from0to4,703
648,영등포구,남,from5to9,425
649,영등포구,남,from10to14,225
650,영등포구,남,from15to19,158
651,영등포구,남,from20to24,221
652,영등포구,남,from25to29,1366
653,영등포구,남,from30to34,2094
654,영등포구,남,from35to39,1735
655,영등포구,남,from40to44,1811
656,영등포구,남,from45to49,2537
657,영등포구,남,from50to54,3173
658,영등포구,남,from55to59,2611
659,영등포구,남,from60to64,1010
660,영등포구,남,from65to69,238
661,영등포구,남,from70to74,56
662,영등포구,남,from75to79,38
663,영등포구,남,upto80,24
664,영등포구,여,from0to4,671
665,영등포구,여,from5to9,418
666,영등포구,여,from10to14,202
667,영등포구,여,from15to19,130
668,영등포구,여,from20to24,343
669,영등포구,여,from25to29,1101
670,영등포구,여,from30to34,1436
671,영등포구,여,from35to39,1139
672,영등포구,여,from40to44,1052
673,영등포구,여,from45to49,2078
674,영등포구,여,from50to54,2805
675,영등포구,여,from55to59,2503
676,영등포구,여,from60to64,845
677,영등포구,여,from65to69,196
678,영등포구,여,from70to74,46
679,영등포구,여,from75to79,39
680,영등포구,여,upto80,45
681,용산구,남,from0to4,356
682,용산구,남,from5to9,411
683,용산구,남,from10to14,303
684,용산구,남,from15to19,257
685,용산구,남,from20to24,497
686,용산구,남,from25to29,921
687,용산구,남,from30to34,1238
688,용산구,남,from35to39,1172
689,용산구,남,from40to44,974
690,용산구,남,from45to49,839
691,용산구,남,from50to54,617
692,용산구,남,from55to59,465
693,용산구,남,from60to64,251
694,용산구,남,from65to69,134
695,용산구,남,from70to74,59
696,용산구,남,from75to79,31
697,용산구,남,upto80,20
698,용산구,여,from0to4,351
699,용산구,여,from5to9,386
700,용산구,여,from10to14,259
701,용산구,여,from15to19,250
702,용산구,여,from20to24,548
703,용산구,여,from25to29,758
704,용산구,여,from30to34,852
705,용산구,여,from35to39,840
706,용산구,여,from40to44,673
707,용산구,여,from45to49,590
708,용산구,여,from50to54,493
709,용산구,여,from55to59,363
710,용산구,여,from60to64,225
711,용산구,여,from65to69,81
712,용산구,여,from70to74,36
713,용산구,여,from75to79,18
714,용산구,여,upto80,15
715,은평구,남,from0to4,53
716,은평구,남,from5to9,47
717,은평구,남,from10to14,37
718,은평구,남,from15to19,96
719,은평구,남,from20to24,128
720,은평구,남,from25to29,206
721,은평구,남,from30to34,237
722,은평구,남,from35to39,207
723,은평구,남,from40to44,173
724,은평구,남,from45to49,182
725,은평구,남,from50to54,173
726,은평구,남,from55to59,168
727,은평구,남,from60to64,85
728,은평구,남,from65to69,34
729,은평구,남,from70to74,24
730,은평구,남,from75to79,13
731,은평구,남,upto80,7
732,은평구,여,from0to4,63
733,은평구,여,from5to9,29
734,은평구,여,from10to14,35
735,은평구,여,from15to19,109
736,은평구,여,from20to24,217
737,은평구,여,from25to29,368
738,은평구,여,from30to34,351
739,은평구,여,from35to39,289
740,은평구,여,from40to44,194
741,은평구,여,from45to49,234
742,은평구,여,from50to54,243
743,은평구,여,from55to59,208
744,은평구,여,from60to64,117
745,은평구,여,from65to69,45
746,은평구,여,from70to74,14
747,은평구,여,from75to79,13
748,은평구,여,upto80,9
749,종로구,남,from0to4,79
750,종로구,남,from5to9,71
751,종로구,남,from10to14,54
752,종로구,남,from15to19,325
753,종로구,남,from20to24,959
754,종로구,남,from25to29,510
755,종로구,남,from30to34,427
756,종로구,남,from35to39,370
757,종로구,남,from40to44,293
758,종로구,남,from45to49,295
759,종로구,남,from50to54,285
760,종로구,남,from55to59,254
761,종로구,남,from60to64,120
762,종로구,남,from65to69,50
763,종로구,남,from70to74,19
764,종로구,남,from75to79,6
765,종로구,남,upto80,10
766,종로구,여,from0to4,87
767,종로구,여,from5to9,69
768,종로구,여,from10to14,42
769,종로구,여,from15to19,528
770,종로구,여,from20to24,1946
771,종로구,여,from25to29,697
772,종로구,여,from30to34,397
773,종로구,여,from35to39,290
774,종로구,여,from40to44,232
775,종로구,여,from45to49,280
776,종로구,여,from50to54,298
777,종로구,여,from55to59,312
778,종로구,여,from60to64,115
779,종로구,여,from65to69,44
780,종로구,여,from70to74,5
781,종로구,여,from75to79,8
782,종로구,여,upto80,10
783,중구,남,from0to4,162
784,중구,남,from5to9,113
785,중구,남,from10to14,87
786,중구,남,from15to19,169
787,중구,남,from20to24,476
788,중구,남,from25to29,516
789,중구,남,from30to34,493
790,중구,남,from35to39,414
791,중구,남,from40to44,316
792,중구,남,from45to49,345
793,중구,남,from50to54,369
794,중구,남,from55to59,335
795,중구,남,from60to64,163
796,중구,남,from65to69,62
797,중구,남,from70to74,32
798,중구,남,from75to79,17
799,중구,남,upto80,15
800,중구,여,from0to4,125
801,중구,여,from5to9,101
802,중구,여,from10to14,78
803,중구,여,from15to19,310
804,중구,여,from20to24,970
805,중구,여,from25to29,662
806,중구,여,from30to34,456
807,중구,여,from35to39,304
808,중구,여,from40to44,297
809,중구,여,from45to49,356
810,중구,여,from50to54,445
811,중구,여,from55to59,419
812,중구,여,from60to64,167
813,중구,여,from65to69,52
814,중구,여,from70to74,15
815,중구,여,from75to79,21
816,중구,여,upto80,22
817,중랑구,남,from0to4,98
818,중랑구,남,from5to9,66
819,중랑구,남,from10to14,24
820,중랑구,남,from15to19,47
821,중랑구,남,from20to24,123
822,중랑구,남,from25to29,242
823,중랑구,남,from30to34,233
824,중랑구,남,from35to39,166
825,중랑구,남,from40to44,128
826,중랑구,남,from45to49,201
827,중랑구,남,from50to54,197
828,중랑구,남,from55to59,168
829,중랑구,남,from60to64,71
830,중랑구,남,from65to69,23
831,중랑구,남,from70to74,7
832,중랑구,남,from75to79,1
833,중랑구,남,upto80,5
834,중랑구,여,from0to4,86
835,중랑구,여,from5to9,58
836,중랑구,여,from10to14,31
837,중랑구,여,from15to19,57
838,중랑구,여,from20to24,212
839,중랑구,여,from25to29,396
840,중랑구,여,from30to34,402
841,중랑구,여,from35to39,285
842,중랑구,여,from40to44,206
843,중랑구,여,from45to49,293
844,중랑구,여,from50to54,327
845,중랑구,여,from55to59,267
846,중랑구,여,from60to64,97
847,중랑구,여,from65to69,28
848,중랑구,여,from70to74,4
849,중랑구,여,from75to79,2
850,중랑구,여,upto80,3
